lat,lon,date,hectares
59.19555410878789,-110.828223308612,2022-06-28 00:00:00,45023.9578009
60.3305380651049,-105.31830538859343,2022-07-07 00:00:00,737.755248581
61.98150115089253,-122.17545574079291,2022-07-08 00:00:00,9572.43049157
60.25437786150949,-111.25462839251817,2022-08-17 00:00:00,26761.7618941
63.96983561154282,-135.40713023363296,2022-07-04 00:00:00,400.728796533
60.75106037200742,-129.97831038488803,2022-07-01 00:00:00,2104.04174235
62.05390034994082,-131.62305228594303,2022-07-05 00:00:00,406.35762734
63.602930205779494,-137.05137959262447,2022-07-04 00:00:00,2802.94507711
63.711716493727,-114.9546175328879,2022-06-21 00:00:00,27464.6079887
64.76868272325775,-121.18300100069924,2022-07-07 00:00:00,7981.59545506
56.1134856629969,-101.74749616728123,2022-07-13 00:00:00,19258.7648699
67.08259293234406,-131.24515290486858,2022-07-07 00:00:00,2679.02521169
61.01083589634989,-132.79947410755463,2022-07-07 00:00:00,843.747484608
61.26002680418848,-125.91152903970196,2022-07-23 00:00:00,4667.78755317
51.567091154950326,-115.64329727365916,2022-08-31 00:00:00,3548.5200829
55.70247633501593,-107.14356232351085,2022-07-14 00:00:00,1624.25922692
59.73071279956459,-106.93979110122308,2022-08-20 00:00:00,831.17770456
66.38000829627407,-127.43142144539307,2022-07-10 00:00:00,7265.93905328
53.176721598386,-118.02708029215223,2022-09-01 00:00:00,6488.50017517
65.31882406870619,-135.40015842475233,2022-06-19 00:00:00,710.505976353
65.5441527267758,-135.6206079658832,2022-07-06 00:00:00,3195.70923886
64.1179666180545,-135.55404438017422,2022-07-04 00:00:00,530.11085367
61.060931917206666,-104.8407856652539,2022-06-14 00:00:00,2738.98138487
57.92971387513346,-103.82478940592738,2022-08-19 00:00:00,1440.15225036
59.496694284301114,-110.5390632842684,2022-06-15 00:00:00,30950.3820877
63.25627025372958,-131.04344789268345,2022-07-03 00:00:00,1548.43757968
63.63462997539777,-132.80581664402393,2022-07-03 00:00:00,1608.83614556
55.417481100264204,-104.64290624344262,2022-06-03 00:00:00,10003.6679433
63.84166722868936,-120.1296840349457,2022-07-07 00:00:00,3177.41715062
60.90109919633523,-133.38055193297717,2022-07-03 00:00:00,1140.213374
62.85110613662979,-135.60455164123184,2022-07-02 00:00:00,3083.86100021
56.583060809960394,-106.57273365483948,2022-07-14 00:00:00,7232.28180219
55.88535073546332,-100.40742219361539,2022-06-13 00:00:00,2346.85057985
61.69966636115441,-129.28671612129796,2022-06-26 00:00:00,773.069260967
56.088358271560054,-71.71487348028127,2022-06-06 00:00:00,13520.7092822
63.37937112209262,-136.88652815291314,2022-07-03 00:00:00,483.928695432
60.89540687555577,-129.11644505435424,2022-07-05 00:00:00,1634.05921929
61.30242651867962,-121.46999079313933,2022-07-07 00:00:00,64995.312915
63.02164937426526,-133.0178388121834,2022-07-03 00:00:00,750.205903997
55.653121177133755,-107.88817393582079,2022-07-14 00:00:00,400.694799192
59.904564231673,-118.31212268267595,2022-06-27 00:00:00,1023.61675041
56.07652862014913,-107.60476595090297,2022-07-18 00:00:00,714.377428524
55.97040628898891,-100.96835698997518,2022-07-17 00:00:00,910.451050987
58.70873242151774,-108.40542405181915,2022-06-22 00:00:00,205.89408994
65.4859706168562,-135.0061598679942,2022-07-07 00:00:00,523.046903046
47.52303225927201,-81.35704499037631,2022-05-10 00:00:00,1239.09099311
55.48710193000554,-100.57599756728243,2022-07-13 00:00:00,30725.0838772
60.87983226348859,-125.95267208401131,2022-07-07 00:00:00,1009.98159872
62.42786614165022,-122.65198062239529,2022-07-07 00:00:00,1708.36649124
56.15762011167586,-122.89784383333581,2022-08-09 00:00:00,1575.55257285
63.17432162212428,-136.57398235913288,2022-07-05 00:00:00,1026.51882894
59.236008950392936,-110.60803095663726,2022-08-20 00:00:00,912.889796669
52.434071411222014,-66.65995798356377,2022-06-16 00:00:00,3470.85239604
64.52045404255458,-122.33673604866408,2022-06-19 00:00:00,769.407633266
64.25939587076206,-114.53293632180986,2022-06-22 00:00:00,18708.8312877
68.1040097015436,-138.28343650622642,2022-07-05 00:00:00,2659.8806908
58.44391005592786,-98.95862809342314,2022-07-07 00:00:00,399.404866315
56.97275133847597,-107.58239201472655,2022-07-06 00:00:00,9029.97884398
64.24313613659731,-138.11195700665837,2022-07-05 00:00:00,10.3069949894
59.840601703866525,-111.13537424664132,2022-06-15 00:00:00,3460.27738125
63.40216095540706,-133.4957550036624,2022-07-03 00:00:00,934.806046572
59.42399086528336,-98.0903583398218,2022-08-17 00:00:00,548.811231582
60.127042758846564,-126.52637606262094,2022-07-12 00:00:00,12815.0002821
55.090979070416154,-124.13221357263221,2022-08-24 00:00:00,48.3215830471
55.17490098878727,-74.43828374518978,2022-06-15 00:00:00,5117.35932661
60.997506829034144,-127.4699560719453,2022-07-05 00:00:00,2270.41633977
50.9260903160945,-121.60948766910815,2022-07-31 00:00:00,813.302854854
52.78201850629427,-64.54233228590952,2022-08-24 00:00:00,449.550941129
65.41315415839632,-129.18134454636427,2022-07-07 00:00:00,646.125224466
52.67059889348222,-96.40112774536007,2022-07-21 00:00:00,236.408074667
62.51566362531988,-136.95817962433262,2022-07-02 00:00:00,723.246187508
60.550773524108955,-109.93224060347707,2022-06-13 00:00:00,3052.64092729
63.64797614137181,-133.00840794521469,2022-07-03 00:00:00,1684.60005651
65.85854634098177,-132.8894235728158,2022-07-05 00:00:00,1727.58005175
65.21217478452444,-119.17004537012208,2022-06-19 00:00:00,40243.6552362
64.24991036515516,-135.23016182678782,2022-07-03 00:00:00,1120.91333706
