fire_id,lat,lon,date,hectares,STATION_NAME,PROV_STATE_TERR_CODE,LATITUDE,LONGITUDE,ELEVATION,distance,TOTAL_RAIN_FLAG,MEAN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,HEATING_DEGREE_DAYS_FLAG,ID,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,MIN_TEMPERATURE,TOTAL_RAIN,DIRECTION_MAX_GUST_FLAG,LOCAL_DAY,LOCAL_DATE,SNOW_ON_GROUND,PROVINCE_CODE,DIRECTION_MAX_GUST,COOLING_DEGREE_DAYS,SPEED_MAX_GUST_FLAG,MAX_REL_HUMIDITY_FLAG,MIN_TEMPERATURE_FLAG,TOTAL_PRECIPITATION_FLAG,LOCAL_YEAR,LOCAL_MONTH,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW_FLAG,MEAN_TEMPERATURE,CLIMATE_IDENTIFIER,SNOW_ON_GROUND_FLAG,TOTAL_SNOW,COOLING_DEGREE_DAYS_FLAG,SPEED_MAX_GUST,HEATING_DEGREE_DAYS,MAX_REL_HUMIDITY,TOTAL_PRECIPITATION
39999,53.93425,-118.9567,2006-07-01,0.11,GRANDE CACHE MILNER,AB,54.0,-119.06,1066.8,9.9490091882754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40000,53.932317,-118.961583,2006-07-01,0.01,GRANDE CACHE MILNER,AB,54.0,-119.06,1066.8,9.897514992844425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40001,53.943033,-118.953733,2006-07-01,0.12,GRANDE CACHE MILNER,AB,54.0,-119.06,1066.8,9.397860503757606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40002,53.9455,-118.959383,2006-07-01,0.5,GRANDE CACHE MILNER,AB,54.0,-119.06,1066.8,8.940226228173168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40003,53.949667,-118.964717,2006-07-01,0.78,GRANDE CACHE MILNER,AB,54.0,-119.06,1066.8,8.370508132952565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40004,53.9508,-118.968283,2006-07-01,0.53,GRANDE CACHE MILNER,AB,54.0,-119.06,1066.8,8.11316160547444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40005,53.952967,-118.9717,2006-07-01,1.4,GRANDE CACHE MILNER,AB,54.0,-119.06,1066.8,7.785823013960278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40006,53.958717,-118.984433,2006-07-01,0.2,GRANDE CACHE MILNER,AB,54.0,-119.06,1066.8,6.740383442593746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40007,53.960533,-118.9858,2006-07-01,0.5,GRANDE CACHE MILNER,AB,54.0,-119.06,1066.8,6.538085376427193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40008,53.963117,-118.988283,2006-07-01,0.4,GRANDE CACHE MILNER,AB,54.0,-119.06,1066.8,6.225888863260741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40009,53.968367,-118.992183,2006-07-01,0.1,GRANDE CACHE MILNER,AB,54.0,-119.06,1066.8,5.656278699004386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40010,54.154333,-118.183033,2006-07-03,67.7,SIMONETTE LO,AB,54.14,-118.25,1274.1,4.640551781887483,T,,,,3075940.2006.7.3,27.5,,14.5,0.0,,3.0,2006-07-03 00:00:00,0.0,AB,,3.0,,,,T,2006.0,7.0,,,21.0,3075940,,0.0,,,0.0,,0.0
40011,54.087667,-118.367667,2006-07-03,0.5,SIMONETTE LO,AB,54.14,-118.25,1274.1,9.621218165956044,T,,,,3075940.2006.7.3,27.5,,14.5,0.0,,3.0,2006-07-03 00:00:00,0.0,AB,,3.0,,,,T,2006.0,7.0,,,21.0,3075940,,0.0,,,0.0,,0.0
40012,54.097683,-118.3434,2006-07-03,0.01,SIMONETTE LO,AB,54.14,-118.25,1274.1,7.688899126698589,T,,,,3075940.2006.7.3,27.5,,14.5,0.0,,3.0,2006-07-03 00:00:00,0.0,AB,,3.0,,,,T,2006.0,7.0,,,21.0,3075940,,0.0,,,0.0,,0.0
40013,54.042967,-118.433867,2006-07-05,0.01,KAKWA,AB,54.12,-118.54,1246.0,11.00673925498938,,,,,3073584.2006.7.5,23.0,,3.5,6.3,,5.0,2006-07-05 00:00:00,0.0,AB,,0.0,,,,,2006.0,7.0,,,13.3,3073584,,0.0,,,4.7,,6.3
40014,53.9696,-118.51255,2006-08-26,0.01,KAKWA,AB,54.12,-118.54,1246.0,16.808909526071933,,,,,3073584.2006.8.26,23.0,,-2.7,0.0,,26.0,2006-08-26 00:00:00,0.0,AB,,0.0,,,,,2006.0,8.0,,,10.2,3073584,,0.0,,,7.8,,0.0
40015,53.969517,-118.512417,2006-08-26,0.1,KAKWA,AB,54.12,-118.54,1246.0,16.81900698535728,,,,,3073584.2006.8.26,23.0,,-2.7,0.0,,26.0,2006-08-26 00:00:00,0.0,AB,,0.0,,,,,2006.0,8.0,,,10.2,3073584,,0.0,,,7.8,,0.0
40016,54.185467,-119.147167,2006-06-29,0.7,COPTON LO,AB,54.11,-119.24,1855.6,10.336178798237786,,,,,3071860.2006.6.29,16.0,,4.0,0.0,,29.0,2006-06-29 00:00:00,0.0,AB,,0.0,,,,,2006.0,6.0,,,10.0,3071860,,0.0,,,8.0,,0.0
40017,54.25635,-119.858533,2006-07-02,0.01,MISTANUSK CREEK,AB,54.3534,-120.0033,1112.0,14.297379809260132,,,,,3074582.2006.7.2,28.5,,-0.8,0.0,,2.0,2006-07-02 00:00:00,0.0,AB,,0.0,,,,,2006.0,7.0,,,13.9,3074582,,0.0,,,4.1,,0.0
