fire_id,lat,lon,date,hectares,STATION_NAME,PROV_STATE_TERR_CODE,LATITUDE,LONGITUDE,ELEVATION,distance,TOTAL_RAIN_FLAG,MEAN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,HEATING_DEGREE_DAYS_FLAG,ID,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,MIN_TEMPERATURE,TOTAL_RAIN,DIRECTION_MAX_GUST_FLAG,LOCAL_DAY,LOCAL_DATE,SNOW_ON_GROUND,PROVINCE_CODE,DIRECTION_MAX_GUST,COOLING_DEGREE_DAYS,SPEED_MAX_GUST_FLAG,MAX_REL_HUMIDITY_FLAG,MIN_TEMPERATURE_FLAG,TOTAL_PRECIPITATION_FLAG,LOCAL_YEAR,LOCAL_MONTH,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW_FLAG,MEAN_TEMPERATURE,CLIMATE_IDENTIFIER,SNOW_ON_GROUND_FLAG,TOTAL_SNOW,COOLING_DEGREE_DAYS_FLAG,SPEED_MAX_GUST,HEATING_DEGREE_DAYS,MAX_REL_HUMIDITY,TOTAL_PRECIPITATION
125000,45.64821,-65.67846,2006-03-31,0.3,COLES ISLAND,NB,45.55,-65.49,15.2,18.27067575361914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125001,45.58438,-65.54018,2006-04-03,6.0,COLES ISLAND,NB,45.55,-65.49,15.2,5.462198022904425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125002,45.77123,-65.38512,2006-04-23,0.4,COLES ISLAND,NB,45.55,-65.49,15.2,25.898535836978954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125003,45.5938,-65.59128,2006-04-23,0.2,COLES ISLAND,NB,45.55,-65.49,15.2,9.260714736154656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125004,45.84823,-65.48465,2006-04-24,0.2,CHIPMAN,NB,46.09,-65.54,19.8,27.20471827419836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125005,45.91644,-65.25936,2006-04-29,1.0,HAVELOCK,NB,46.0,-65.19,98.5,10.720685587056645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125006,45.56236,-65.69822,2006-04-29,1.0,COLES ISLAND,NB,45.55,-65.49,15.2,16.259889488768664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125007,45.89756,-65.22648,2006-05-31,0.1,HAVELOCK,NB,46.0,-65.19,98.5,11.727419777956756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125008,45.76594,-65.30808,2006-08-07,0.1,HAVELOCK,NB,46.0,-65.19,98.5,27.56723810094636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125009,45.86648,-65.1658,2006-09-03,0.3,HAVELOCK,NB,46.0,-65.19,98.5,14.954844615341043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125010,45.6211,-65.566,2007-04-02,1.0,COLES ISLAND,NB,45.55,-65.49,15.2,9.86712352088898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
