fire_id,lat,lon,date,hectares,STATION_NAME,PROV_STATE_TERR_CODE,LATITUDE,LONGITUDE,ELEVATION,distance,TOTAL_RAIN_FLAG,MEAN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,HEATING_DEGREE_DAYS_FLAG,ID,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,MIN_TEMPERATURE,TOTAL_RAIN,DIRECTION_MAX_GUST_FLAG,LOCAL_DAY,LOCAL_DATE,SNOW_ON_GROUND,PROVINCE_CODE,DIRECTION_MAX_GUST,COOLING_DEGREE_DAYS,SPEED_MAX_GUST_FLAG,MAX_REL_HUMIDITY_FLAG,MIN_TEMPERATURE_FLAG,TOTAL_PRECIPITATION_FLAG,LOCAL_YEAR,LOCAL_MONTH,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW_FLAG,MEAN_TEMPERATURE,CLIMATE_IDENTIFIER,SNOW_ON_GROUND_FLAG,TOTAL_SNOW,COOLING_DEGREE_DAYS_FLAG,SPEED_MAX_GUST,HEATING_DEGREE_DAYS,MAX_REL_HUMIDITY,TOTAL_PRECIPITATION
20000,49.6019,-115.7908,2009-07-25,0.009,KIMBERLEY CHAPMAN CAMP,BC,49.41,-115.59,1097.3,25.781968527965063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20001,49.8046,-115.6718,2009-07-27,0.009,CANAL FLATS RANGER STN,BC,50.09,-115.49,816.9,34.276094819652954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20002,49.711,-115.6606,2009-07-27,0.009,HANSON LAKE,BC,49.47,-115.44,774.2,31.140960318120367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20003,49.6889,-115.8847,2009-07-27,0.009,KIMBERLEY CHAPMAN CAMP,BC,49.41,-115.59,1097.3,37.57636162836434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20004,49.5824,-115.6871,2009-08-04,0.009,KIMBERLEY CHAPMAN CAMP,BC,49.41,-115.59,1097.3,20.39958748664674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20005,49.5951,-115.931,2009-07-25,0.009,KIMBERLEY CHAPMAN CAMP,BC,49.41,-115.59,1097.3,32.07301001659409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20006,49.7221,-115.6957,2009-07-27,0.009,HANSON LAKE,BC,49.47,-115.44,774.2,33.526491899458804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20007,49.7413,-115.9389,2009-04-02,0.009,KIMBERLEY CHAPMAN CAMP,BC,49.41,-115.59,1097.3,44.581018697032064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20008,49.2657,-115.265,2009-08-22,0.009,WARDNER KTNY HATCHERY,BC,49.28234,-115.27343,760.0,1.9475149484830223,,,,,1158692.2009.8.22,29.0,,9.0,0.0,,22.0,2009-08-22 00:00:00,0.0,BC,,1.0,,,,,2009.0,8.0,,,19.0,1158692,,0.0,,,0.0,,0.0
20009,49.4902,-115.5216,2010-03-07,2.6,HANSON LAKE,BC,49.47,-115.44,774.2,6.304614292406391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010,49.5603,-115.6583,2010-03-20,0.5,KIMBERLEY CHAPMAN CAMP,BC,49.41,-115.59,1097.3,17.414708836636425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20011,49.3502,-115.3542,2010-03-27,3.0,FORT STEELE,BC,49.38,-115.37,915.0,3.503375981672977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20012,51.1242,-116.7336,2009-04-09,3.4,GOLDEN AIRPORT,BC,51.18008,-116.59036,785.0,11.757867677343455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20013,50.3185,-115.8604,2009-04-12,0.3,INVERMERE,BC,50.3,-116.02,810.0,11.511759620123897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20014,50.5301,-116.1547,2009-04-16,0.7,BRISCO,BC,50.4914,-116.1529,823.0,4.302422699786191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20015,50.5744,-116.0989,2009-04-18,0.9,KOOTENAY NP KTNY CRSG,BC,50.53,-116.0304,1170.4,6.909111284508486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20016,50.8329,-116.2654,2009-05-01,0.1,SPILLIMACHEEN,BC,50.55,-116.24,818.4,31.488104611515837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20017,49.8993,-115.8085,2009-05-02,0.7,CANAL FLATS RANGER STN,BC,50.09,-115.49,816.9,31.093006446467488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20018,50.0689,-115.8055,2009-05-22,3.0,CANAL FLATS RANGER STN,BC,50.09,-115.49,816.9,22.62068487563525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20019,50.6061,-116.1254,2009-06-03,0.5,SPILLIMACHEEN,BC,50.55,-116.24,818.4,10.210981319110418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
