fire_id,lat,lon,date,hectares,STATION_NAME,PROV_STATE_TERR_CODE,LATITUDE,LONGITUDE,ELEVATION,distance,TOTAL_RAIN_FLAG,MEAN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,HEATING_DEGREE_DAYS_FLAG,ID,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,MIN_TEMPERATURE,TOTAL_RAIN,DIRECTION_MAX_GUST_FLAG,LOCAL_DAY,LOCAL_DATE,SNOW_ON_GROUND,PROVINCE_CODE,DIRECTION_MAX_GUST,COOLING_DEGREE_DAYS,SPEED_MAX_GUST_FLAG,MAX_REL_HUMIDITY_FLAG,MIN_TEMPERATURE_FLAG,TOTAL_PRECIPITATION_FLAG,LOCAL_YEAR,LOCAL_MONTH,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW_FLAG,MEAN_TEMPERATURE,CLIMATE_IDENTIFIER,SNOW_ON_GROUND_FLAG,TOTAL_SNOW,COOLING_DEGREE_DAYS_FLAG,SPEED_MAX_GUST,HEATING_DEGREE_DAYS,MAX_REL_HUMIDITY,TOTAL_PRECIPITATION
50000,52.981383,-115.104233,2013-10-20,0.01,BRAZEAU LO,AB,53.01,-115.25,1088.4,10.254927681470116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50001,53.8035,-115.73595,2014-04-11,0.01,WHITECOURT LO,AB,54.02,-115.43,1200.9,31.30278307067072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50002,53.628483,-115.518417,2014-04-28,0.8,SHINING BANK,AB,53.51,-115.58,829.1,13.779363921752648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50003,53.618133,-115.7434,2014-04-30,0.2,SHINING BANK,AB,53.51,-115.58,829.1,16.146010559827264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50004,53.667833,-115.993317,2014-05-01,0.01,TOM HILL LO,AB,53.56,-116.2,1295.4,18.144702622348525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50005,53.5347,-116.658067,2014-05-07,0.5,MAYBERNE LO,AB,53.52,-116.4,1490.5,17.12523625758746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50006,53.58865,-115.37735,2014-05-14,0.1,HIGHWAY,AB,53.55,-115.32,823.0,5.724529722404583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50007,53.593483,-115.377283,2014-05-14,0.01,HIGHWAY,AB,53.55,-115.32,823.0,6.134899895957931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50008,53.578533,-115.377417,2014-05-14,0.01,HIGHWAY,AB,53.55,-115.32,823.0,4.941033150952705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50009,53.570883,-115.377417,2014-05-14,0.01,HIGHWAY,AB,53.55,-115.32,823.0,4.443890609025211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50010,53.54865,-115.37735,2014-05-14,0.01,HIGHWAY,AB,53.55,-115.32,823.0,3.789379566341128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50011,53.553967,-115.377283,2014-05-14,0.01,HIGHWAY,AB,53.55,-115.32,823.0,3.8073546976253674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50012,53.559517,-115.377317,2014-05-14,0.01,HIGHWAY,AB,53.55,-115.32,823.0,3.9287645118789847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50013,53.56925,-115.377367,2014-05-14,0.01,HIGHWAY,AB,53.55,-115.32,823.0,4.349069812618519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50014,53.599333,-115.352967,2014-05-14,0.01,HIGHWAY,AB,53.55,-115.32,823.0,5.897932519178493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50015,53.586067,-115.37725,2014-05-14,0.01,HIGHWAY,AB,53.55,-115.32,823.0,5.5079908380399365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50016,53.567433,-115.3775,2014-05-16,0.01,HIGHWAY,AB,53.55,-115.32,823.0,4.26127968832422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50017,53.5595,-115.37735,2014-05-16,0.01,HIGHWAY,AB,53.55,-115.32,823.0,3.930355510351174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50018,53.550983,-116.493767,2014-05-17,0.01,MAYBERNE LO,AB,53.52,-116.4,1490.5,7.0855315217083765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50019,53.657317,-116.643717,2014-05-19,0.4,MAYBERNE LO,AB,53.52,-116.4,1490.5,22.16489587543211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50020,53.734983,-115.581567,2014-05-19,0.01,SHINING BANK,AB,53.51,-115.58,829.1,25.001474721638683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50021,53.513983,-116.511683,2014-05-19,0.01,MAYBERNE LO,AB,53.52,-116.4,1490.5,7.409489672067292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50022,53.610084,-115.653758,2014-05-21,0.01,SHINING BANK,AB,53.51,-115.58,829.1,12.14073694229972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50023,53.5809,-116.0705,2014-05-22,0.2,TOM HILL LO,AB,53.56,-116.2,1295.4,8.85566596637452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50024,53.8064,-116.34415,2014-07-01,0.25,KAYBOB 3,AB,54.065,-116.3752002,1002.8,28.808653425530345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50025,53.579096,-116.571173,2014-07-09,0.04,MAYBERNE LO,AB,53.52,-116.4,1490.5,13.070753712707525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50026,53.612733,-115.8283,2014-07-17,0.01,SHINING BANK,AB,53.51,-115.58,829.1,19.973034168880474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50027,53.670867,-116.28635,2014-07-25,0.01,TOM HILL LO,AB,53.56,-116.2,1295.4,13.571502919474968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50028,53.494167,-116.609817,2014-08-04,0.01,MAYBERNE LO,AB,53.52,-116.4,1490.5,14.160561172181987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50029,53.694817,-116.310883,2014-08-07,0.01,TOM HILL LO,AB,53.56,-116.2,1295.4,16.668633903844757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50030,53.59965,-116.3509,2014-08-08,0.01,MAYBERNE LO,AB,53.52,-116.4,1490.5,9.425803351333109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50031,53.629983,-115.481233,2014-08-30,0.1,HIGHWAY,AB,53.55,-115.32,823.0,13.859943584710042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50032,53.433676,-115.134589,2014-09-01,0.01,WILDWOOD NORTH,AB,53.44,-115.14,853.4,0.7887781501539014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50033,53.553867,-116.49,2014-09-11,0.01,MAYBERNE LO,AB,53.52,-116.4,1490.5,7.035084357443687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50034,53.145433,-115.296117,2014-09-15,0.05,CYNTHIA,AB,53.15,-115.23,914.4,4.435677074155639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50035,53.559123,-116.500474,2014-10-20,0.01,MAYBERNE LO,AB,53.52,-116.4,1490.5,7.932578699500008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50036,53.570633,-116.6068,2014-10-22,0.05,MAYBERNE LO,AB,53.52,-116.4,1490.5,14.768626039688824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50037,53.501004,-115.014733,2014-10-24,0.01,RONAN,AB,53.53,-115.15,731.5,9.500921602437892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50038,53.660974,-116.402163,2015-03-09,0.01,MAYBERNE LO,AB,53.52,-116.4,1490.5,15.666401374013718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
