fire_id,lat,lon,date,hectares,STATION_NAME,PROV_STATE_TERR_CODE,LATITUDE,LONGITUDE,ELEVATION,distance,DIRECTION_MAX_GUST,MEAN_TEMPERATURE,TOTAL_SNOW_FLAG,COOLING_DEGREE_DAYS_FLAG,LOCAL_DAY,LOCAL_YEAR,HEATING_DEGREE_DAYS_FLAG,PROVINCE_CODE,MAX_REL_HUMIDITY_FLAG,TOTAL_RAIN,COOLING_DEGREE_DAYS,ID,SNOW_ON_GROUND,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,TOTAL_PRECIPITATION_FLAG,MAX_TEMPERATURE_FLAG,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER,TOTAL_PRECIPITATION,MIN_TEMPERATURE,TOTAL_SNOW,LOCAL_MONTH,SPEED_MAX_GUST,MAX_TEMPERATURE,DIRECTION_MAX_GUST_FLAG,SNOW_ON_GROUND_FLAG,TOTAL_RAIN_FLAG,LOCAL_DATE,MIN_REL_HUMIDITY_FLAG,MEAN_TEMPERATURE_FLAG,SPEED_MAX_GUST_FLAG,HEATING_DEGREE_DAYS
118977,48.0919,-77.77859999999998,2021-08-12,0.0,RIVIERE HEVA,QC,48.12,-78.08,305.0,22.5821212939281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118978,47.3077,-73.4008,2021-08-12,0.5,BARRAGE MONDONAC,QC,47.27,-73.56,457.2,12.710213381537672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118979,47.4456,-78.45279999999998,2021-08-11,0.0,RAPIDE NO 2,QC,47.56,-78.34,289.6,15.274822055302929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118980,46.8623,-73.6559,2021-08-13,0.0,BARRAGE MATTAWIN,QC,46.51,-73.39,365.8,44.08554713939877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118981,47.8372,-69.4493,2021-08-13,0.0,ILE ROUGE,QC,48.0408,-69.332,5.9,24.25177348928337,19.0,14.6,,,13.0,2021.0,,QC,,,0.0,7043BP9.2021.8.13,,,76.0,,,100.0,7043BP9,,9.6,,8.0,41.0,19.7,,,,2021-08-13 00:00:00,,,,3.4
118982,48.782,-72.9454,2021-08-13,27.6,RIVIERE CHIGOUBICHE,QC,48.59,-73.18,335.3,27.412454189201966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118983,48.0303,-77.28329999999998,2021-08-15,0.6,LOUVICOURT,QC,48.04,-77.23,320.0,4.104602524914401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118984,47.648,-70.6203,2021-08-15,0.2,LA GALETTE,QC,47.44,-70.44,740.7,26.78010624496968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118985,45.8584,-73.8755,2021-08-15,0.1,LAC MASSON,QC,46.02,-74.03,312.4,21.564696555237926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118986,47.8535,-72.96259999999998,2021-08-12,2.0,LAC MARTEL,QC,48.05,-73.07,365.8,23.253155384150627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118987,46.4716,-75.8229,2021-08-17,0.0,LYTTON RCS,QC,46.41,-76.02,213.1,16.573017056865975,17.0,19.6,,,17.0,2021.0,,BC,,,1.6,1114746.2021.8.17,,,33.0,,,93.0,1114746,0.4,13.3,,8.0,55.0,26.0,,,,2021-08-17 00:00:00,,,,0.0
118988,47.8377,-73.601,2021-08-17,0.0,MANOUAN SANMAUR 2,QC,47.54,-73.48,356.9,34.29783266759393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118989,49.3582,-72.78029999999998,2021-08-10,1.6,CHAMOUCHOUANE,QC,49.1643,-73.212,303.8,38.00570271229605,,22.6,,,10.0,2021.0,,QC,,,4.6,7061288.2021.8.10,,,66.0,M,,100.0,7061288,,16.8,,8.0,,28.3,M,,,2021-08-10 00:00:00,,,M,0.0
118990,48.9412,-72.001,2021-08-17,0.3,NOTRE DAME DE LORETTE,QC,49.04,-72.19,182.9,17.620257959530974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118991,49.6248,-71.4019,2021-08-17,0.0,PASSE DANGEREUSE DAM,QC,49.53,-71.16,457.2,20.366480170544065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118992,48.8407,-72.311,2021-08-17,0.0,HEMON,QC,49.04,-72.36,182.9,22.434171510571613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118993,48.8405,-72.30589999999998,2021-08-18,0.2,HEMON,QC,49.04,-72.36,182.9,22.518402681783545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118994,45.4674,-74.32779999999998,2021-08-12,0.0,HARRINGTON FOREST FARM,QC,45.51,-74.38,182.9,6.24078034856449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118995,48.8386,-72.29519999999998,2021-08-18,0.1,HEMON,QC,49.04,-72.36,182.9,22.874958131128277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118996,49.615,-71.1158,2021-08-18,0.0,PASSE DANGEREUSE DAM,QC,49.53,-71.16,457.2,9.9682198445269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118997,47.7305,-70.276,2021-08-19,0.3,LAC HA HA,QC,48.0,-70.47,502.9,33.25763729060267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118998,48.8607,-72.09399999999998,2021-08-20,0.0,NOTRE DAME DE LORETTE,QC,49.04,-72.19,182.9,21.120517871794448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118999,46.7075,-75.2155,2021-08-20,0.0,TAPINI FARM,QC,46.56,-75.08,274.3,19.37950159161762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119000,48.6463,-71.1996,2021-08-20,0.1,LAC ONATCHIWAY,QC,48.54,-71.02,304.8,17.71397938150434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119001,46.5368,-74.34529999999998,2021-08-20,0.0,SAINT-MICHEL-DES-SAINTS,QC,46.485601,-74.053805,429.9,23.00743022126411,,24.2,,,20.0,2021.0,,QC,,,6.2,7077571.2021.8.20,,,45.0,,,98.0,7077571,0.0,17.0,,8.0,,31.4,,,,2021-08-20 00:00:00,,,,0.0
119002,46.8514,-72.5359,2021-08-20,0.1,GRANDE ANSE,QC,47.06,-72.56,119.0,23.252662215599237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119003,49.3014,-72.3127,2021-08-19,8.1,RIVIERE AUX RATS,QC,49.25,-72.12,185.9,15.093308175519375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119004,46.3065,-74.6777,2021-08-21,0.0,L'ANNONCIATION,QC,46.25,-74.52,243.8,13.64272720262226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119005,45.8087,-74.0265,2021-08-21,0.0,LAC MASSON,QC,46.02,-74.03,312.4,23.482295625478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119006,49.1957,-68.2446,2021-08-21,0.0,MANIC 2 LB1,QC,49.18,-68.24,122.0,1.7763650241348312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119007,48.288,-78.5164,2021-08-22,0.0,MONT BRUN,QC,48.25,-78.44,304.8,7.054628779437085,,,,,22.0,2021.0,,QC,,0.0,,7085106.2021.8.22,0.0,,,,,,7085106,0.0,16.0,0.0,8.0,,25.0,,,,2021-08-22 00:00:00,,,,
119008,49.1904,-76.64669999999998,2021-08-19,0.2,LEBEL SUR QUEVILLON,QC,49.03,-76.58,304.5,18.473040102753767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119009,47.4633,-73.465,2021-08-22,0.0,BGE C LAC CHATEAUVERT,QC,47.46,-73.54,382.5,5.646659652383797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119010,45.9994,-76.11239999999998,2021-08-22,0.4,WRIGHT,QC,46.04,-76.03,141.7,7.796538637839742,,,,,22.0,2021.0,,QC,,0.0,,7038975.2021.8.22,0.0,,,,,,7038975,0.0,18.3,0.0,8.0,,31.0,,,,2021-08-22 00:00:00,,,,
119011,47.4601,-74.9427,2021-08-22,0.0,BARRAGE MITCHINAMECUS,QC,47.13,-75.1,390.1,38.55055707922174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119012,48.516,-75.28409999999998,2021-08-22,0.1,CLOVA,QC,48.07,-75.22,423.4,49.78786221131608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119013,46.0193,-77.1864,2021-08-23,0.1,CHALK RIVER AECL,ON,46.03,-77.22,121.9,2.852225830963576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119014,45.4442,-72.1601,2021-08-22,0.0,DURHAM SUD,QC,45.38,-72.21,191.1,8.127140816436855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119015,49.1879,-68.2388,2021-08-23,0.0,MANIC 2 LB1,QC,49.18,-68.24,122.0,0.8822047669798444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119016,47.8159,-78.2702,2021-08-24,8.3,RAPIDE NO 2,QC,47.56,-78.34,289.6,28.91230797944902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119017,48.9208,-72.44379999999998,2021-08-24,0.0,HEMON,QC,49.04,-72.36,182.9,14.588135619867565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119018,46.5272,-72.76439999999998,2021-08-24,0.0,LAC MINOGAMI,QC,46.4,-72.52,259.1,23.447213228186516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119019,46.8937,-78.9721,2021-08-23,0.0,KIPAWA LANIEL,QC,47.03,-79.16,280.4,20.79639911745331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119020,48.4149,-67.236,2021-08-25,0.0,ST RENE DE MATANE,QC,48.41,-67.23,61.0,0.7016823785612206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119021,45.7572,-74.4795,2021-08-24,0.0,HUBERDEAU,QC,45.58,-74.38,213.4,21.15304705847161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119022,46.2968,-76.0663,2021-08-25,0.0,LYTTON RCS,QC,46.41,-76.02,213.1,13.071008824910404,17.0,19.3,,,25.0,2021.0,,BC,,,1.3,1114746.2021.8.25,,,22.0,,,97.0,1114746,0.0,9.7,,8.0,53.0,28.9,,,,2021-08-25 00:00:00,,,,0.0
119023,50.8334,-74.6614,2021-08-24,0.4,MISTASSINI POST,QC,50.25,-73.53,379.8,102.89224470069036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119024,46.3658,-73.8755,2021-08-24,0.0,BARRIERE ST GUILLAUME,QC,46.36,-74.1,411.5,17.22809359299907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119025,48.0059,-77.7505,2021-08-25,0.0,VAL D'OR A,QC,48.0323,-77.4712,337.4,20.966528754827635,,23.1,,,25.0,2021.0,,QC,,,5.1,7098605.2021.8.25,,,50.0,,,89.0,7098605,0.0,17.0,,8.0,,29.1,M,,,2021-08-25 00:00:00,,,M,0.0
119026,47.4207,-77.77899999999998,2021-08-25,0.4,RAPIDE-SEPT,QC,47.46,-78.18,310.9,30.45400609707648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119027,47.2193,-78.5875,2021-08-25,0.0,BELLETERRE,QC,47.23,-78.42,321.6,12.696670954715794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119028,49.8612,-67.8723,2021-08-26,0.0,TOULNUSTOUC,QC,50.05,-67.57,274.3,30.121498708203596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119029,49.1643,-65.4029,2021-08-18,0.0,MONT LOUIS,QC,49.14,-65.44,15.2,3.816136027350817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119030,46.8611,-78.96639999999998,2021-08-26,0.0,KIPAWA LANIEL,QC,47.03,-79.16,280.4,23.832616868372767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119031,47.7695,-70.3467,2021-08-26,0.0,LAC HA HA,QC,48.0,-70.47,502.9,27.21261003624172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119032,48.8594,-64.5464,2021-08-26,0.0,GASPE 2,QC,49.07,-64.42,26.5,25.15426038407417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
