fire_id,lat,lon,date,hectares,STATION_NAME,PROV_STATE_TERR_CODE,LATITUDE,LONGITUDE,ELEVATION,distance,PROVINCE_CODE,HEATING_DEGREE_DAYS,TOTAL_SNOW_FLAG,DIRECTION_MAX_GUST_FLAG,DIRECTION_MAX_GUST,MAX_REL_HUMIDITY,LOCAL_DAY,LOCAL_MONTH,ID,MIN_TEMPERATURE_FLAG,MIN_TEMPERATURE,TOTAL_SNOW,MEAN_TEMPERATURE,MAX_REL_HUMIDITY_FLAG,LOCAL_DATE,SPEED_MAX_GUST,MIN_REL_HUMIDITY,COOLING_DEGREE_DAYS_FLAG,COOLING_DEGREE_DAYS,SNOW_ON_GROUND_FLAG,MEAN_TEMPERATURE_FLAG,MAX_TEMPERATURE_FLAG,MAX_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST_FLAG,LOCAL_YEAR,TOTAL_RAIN,MIN_REL_HUMIDITY_FLAG,TOTAL_RAIN_FLAG,HEATING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION,SNOW_ON_GROUND,CLIMATE_IDENTIFIER
7450,57.7587,-120.1891,2008-08-17,0.009,FONTAS LO,AB,57.47,-119.3,1036.3,61.88398431870275,AB,0.0,,,,,17.0,8.0,3072637.2008.8.17,,12.5,0.0,20.3,,2008-08-17 00:00:00,,,,2.3,M,,,28.0,,,2008.0,0.0,,,,0.0,,3072637
7451,57.4553,-121.2707,2004-06-17,0.009,BEATTON RIVER A,BC,57.23,-121.23,839.7,25.155158679370963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7452,57.3495,-120.6462,2004-07-16,0.009,BEATTON RIVER A,BC,57.23,-121.23,839.7,37.48839698678323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7453,57.4537,-121.3333,2006-07-03,110.0,BEATTON RIVER A,BC,57.23,-121.23,839.7,25.61885170563109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7454,57.6312,-120.2117,2008-08-08,4.0,FONTAS LO,AB,57.47,-119.3,1036.3,57.23476909797306,AB,,,,,,8.0,8.0,3072637.2008.8.8,,15.0,0.0,,,2008-08-08 00:00:00,,,M,,M,M,,26.0,,,2008.0,0.0,,,M,0.0,,3072637
7455,56.5586,-120.2382,2004-04-10,2.0,ROSE PRAIRIE,BC,56.39,-120.46,670.6,23.15905552993251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7456,56.4905,-120.3815,2004-05-31,14.0,ROSE PRAIRIE,BC,56.39,-120.46,670.6,12.164722349215062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7457,56.4937,-120.0837,2006-05-20,3.25,ROSE PRAIRIE,BC,56.39,-120.46,670.6,25.82854261145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7458,56.5059,-120.0663,2006-09-01,0.02,ROSE PRAIRIE,BC,56.39,-120.46,670.6,27.396445320039348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7459,56.4846,-120.4184,2006-08-24,0.009,ROSE PRAIRIE,BC,56.39,-120.46,670.6,10.81863977717728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7460,56.5123,-120.3441,2008-08-08,0.014,ROSE PRAIRIE,BC,56.39,-120.46,670.6,15.34167391902204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7461,56.6523,-120.1978,2008-08-12,30.3,ROSE PRAIRIE,BC,56.39,-120.46,670.6,33.28579939868404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7462,56.6155,-120.2383,2008-08-14,0.009,ROSE PRAIRIE,BC,56.39,-120.46,670.6,28.50981165342624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7463,56.5952,-120.188,2008-08-14,4.0,ROSE PRAIRIE,BC,56.39,-120.46,670.6,28.255882891611694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7464,56.5055,-120.2059,2008-08-15,1.4,ROSE PRAIRIE,BC,56.39,-120.46,670.6,20.20634417704139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7465,56.5321,-120.1838,2008-08-14,0.009,ROSE PRAIRIE,BC,56.39,-120.46,670.6,23.171521559609104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7466,56.6052,-120.1985,2008-08-08,348.0,ROSE PRAIRIE,BC,56.39,-120.46,670.6,28.79514105502925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7467,56.6007,-120.1773,2008-08-17,0.1,ROSE PRAIRIE,BC,56.39,-120.46,670.6,29.136483203447035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7468,56.4827,-120.4157,2008-09-29,2.3,ROSE PRAIRIE,BC,56.39,-120.46,670.6,10.654771125870155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7469,57.1058,-130.6405,2004-06-26,0.009,SCHAFT CREEK,BC,57.21,-131.0,914.4,24.56574943827373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7470,56.937,-130.408,2004-06-26,0.1,BOB QUINN,BC,56.59,-130.15,579.1,41.63929923146191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7471,55.6587,-128.2069,2008-04-30,1.7,CRANBERRY RIVER,BC,55.3,-128.14,609.6,40.08260028905276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7472,56.2083,-127.7783,2004-06-22,274.7,SUSTUT MOUNTAIN,BC,56.37,-126.41,1798.3,86.27970744458682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7473,56.5246,-128.187,2004-06-20,10.0,HYLAND POST,BC,57.39,-128.1,1066.8,96.31202581392051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7474,56.4528,-128.5403,2004-06-27,20.0,BRUCEJACK LAKE,BC,56.28,-130.1,1372.0,97.89885074127804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7475,56.4082,-121.1502,2004-04-08,0.001,PRESPATOU,BC,56.55,-121.02,684.9,17.66752520146031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7476,56.4951,-122.5539,2004-04-28,2.0,HALFWAY RIVER,BC,56.44,-122.35,670.6,13.934093836039525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7477,56.6386,-121.6276,2004-04-30,0.5,WONOWON,BC,56.44,-121.48,914.4,23.850474997253965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7478,56.4951,-122.5539,2004-05-17,0.5,HALFWAY RIVER,BC,56.44,-122.35,670.6,13.934093836039525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7479,56.854,-122.836,2004-05-17,2.0,PINK MOUNTAIN 2,BC,57.02,-122.31,1144.0,36.83995291153665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7480,56.3977,-121.1322,2004-06-03,0.1,PRESPATOU,BC,56.55,-121.02,684.9,18.271738283201707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7481,56.8786,-121.3868,2004-06-03,0.009,BEATTON RIVER,BC,57.13,-121.28,807.7,28.67471217682065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7482,56.3247,-121.8377,2004-06-18,0.009,WONOWON,BC,56.44,-121.48,914.4,25.465286915334868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7483,56.802,-121.9038,2004-08-11,0.6,PINK MOUNTAIN,BC,57.0,-122.22,1204.0,29.194326864211003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7484,56.5513,-121.2363,2004-08-18,2.0,PRESPATOU,BC,56.55,-121.02,684.9,13.24961540505025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7485,56.3952,-121.1274,2004-10-06,0.1,PRESPATOU,BC,56.55,-121.02,684.9,18.42197874235404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7486,56.7417,-121.8333,2006-04-29,2.0,PINK MOUNTAIN,BC,57.0,-122.22,1204.0,37.08712685824953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7487,56.4662,-121.1545,2006-04-30,16.2,PRESPATOU,BC,56.55,-121.02,684.9,12.439556664251628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
