fire_id,lat,lon,date,hectares,STATION_NAME,PROV_STATE_TERR_CODE,LATITUDE,LONGITUDE,ELEVATION,distance,TOTAL_RAIN_FLAG,MEAN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,HEATING_DEGREE_DAYS_FLAG,ID,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,MIN_TEMPERATURE,TOTAL_RAIN,DIRECTION_MAX_GUST_FLAG,LOCAL_DAY,LOCAL_DATE,SNOW_ON_GROUND,PROVINCE_CODE,DIRECTION_MAX_GUST,COOLING_DEGREE_DAYS,SPEED_MAX_GUST_FLAG,MAX_REL_HUMIDITY_FLAG,MIN_TEMPERATURE_FLAG,TOTAL_PRECIPITATION_FLAG,LOCAL_YEAR,LOCAL_MONTH,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW_FLAG,MEAN_TEMPERATURE,CLIMATE_IDENTIFIER,SNOW_ON_GROUND_FLAG,TOTAL_SNOW,COOLING_DEGREE_DAYS_FLAG,SPEED_MAX_GUST,HEATING_DEGREE_DAYS,MAX_REL_HUMIDITY,TOTAL_PRECIPITATION
30000,50.9424,-116.5788,2015-08-14,0.04,YOHO NP WEST GATE,BC,51.14,-116.4,1143.0,25.263436345934256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30001,49.846,-115.7581,2015-09-18,0.015,CANAL FLATS RANGER STN,BC,50.09,-115.49,816.9,33.20268272156181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30002,51.4295,-117.0818,2015-04-16,18.0,DONALD,BC,51.29,-117.09,783.3,15.512392204042118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30003,51.359,-117.0088,2015-08-04,0.01,DONALD,BC,51.29,-117.09,783.3,9.51779269853496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30004,49.7866,-115.7308,2019-04-29,0.06,CANAL FLATS RANGER STN,BC,50.09,-115.49,816.9,37.859366620227696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30005,49.6129,-115.8371,2019-05-02,1.0,KIMBERLEY CHAPMAN CAMP,BC,49.41,-115.59,1097.3,28.744607277695856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30006,49.6523,-115.999,2019-05-12,0.9,KIMBERLEY CHAPMAN CAMP,BC,49.41,-115.59,1097.3,39.93939289568982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30007,49.6917,-115.9485,2019-05-15,0.03,KIMBERLEY CHAPMAN CAMP,BC,49.41,-115.59,1097.3,40.594911386244384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30008,49.1737,-115.2558,2019-05-20,0.009,BAYNES LAKE KOOTENAY RIVER,BC,49.13337,-115.13138,800.0,10.092453454660308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30009,49.4739,-115.4826,2019-05-20,0.1,HANSON LAKE,BC,49.47,-115.44,774.2,3.106582089999364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
