fire_id,lat,lon,date,hectares,STATION_NAME,PROV_STATE_TERR_CODE,LATITUDE,LONGITUDE,ELEVATION,distance,TOTAL_RAIN_FLAG,MEAN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,HEATING_DEGREE_DAYS_FLAG,ID,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,MIN_TEMPERATURE,TOTAL_RAIN,DIRECTION_MAX_GUST_FLAG,LOCAL_DAY,LOCAL_DATE,SNOW_ON_GROUND,PROVINCE_CODE,DIRECTION_MAX_GUST,COOLING_DEGREE_DAYS,SPEED_MAX_GUST_FLAG,MAX_REL_HUMIDITY_FLAG,MIN_TEMPERATURE_FLAG,TOTAL_PRECIPITATION_FLAG,LOCAL_YEAR,LOCAL_MONTH,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW_FLAG,MEAN_TEMPERATURE,CLIMATE_IDENTIFIER,SNOW_ON_GROUND_FLAG,TOTAL_SNOW,COOLING_DEGREE_DAYS_FLAG,SPEED_MAX_GUST,HEATING_DEGREE_DAYS,MAX_REL_HUMIDITY,TOTAL_PRECIPITATION
10000,50.7848,-116.406,2003-07-26,0.5,BOBBIE BURNS,BC,50.5658,-116.5546,1370.0,26.49091246127844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10001,50.8,-116.3936,2003-07-26,0.009,BOBBIE BURNS,BC,50.5658,-116.5546,1370.0,28.387171275212182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10002,50.797,-116.3836,2003-07-26,0.009,BOBBIE BURNS,BC,50.5658,-116.5546,1370.0,28.3735524703627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003,50.7978,-116.3637,2003-07-26,0.009,SPILLIMACHEEN,BC,50.55,-116.24,818.4,28.881889238515697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10004,50.615,-116.1247,2003-08-02,0.009,SPILLIMACHEEN,BC,50.55,-116.24,818.4,10.879449220809429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10005,49.8367,-115.782,2004-03-30,5.0,CANAL FLATS RANGER STN,BC,50.09,-115.49,816.9,35.04289393776203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10006,51.2605,-116.9254,2003-05-13,2.1,DONALD,BC,51.29,-117.09,783.3,11.902922101310253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10007,51.2451,-116.9588,2003-08-06,0.009,DONALD,BC,51.29,-117.09,783.3,10.39761996221441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10008,51.4617,-116.965,2003-08-11,0.009,DONALD,BC,51.29,-117.09,783.3,20.957895242542847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10009,51.3133,-116.9917,2003-08-29,0.009,DONALD,BC,51.29,-117.09,783.3,7.303985400342306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10010,49.3688,-115.2195,2003-08-06,0.1,FT STEELE DANDY CRK,BC,49.31261,-115.27381,856.0,7.379158505046915,C,E,,E,1153034.2003.8.6,29.0,,13.5,0.0,,6.0,2003-08-06 00:00:00,0.0,BC,,3.3,,,E,C,2003.0,8.0,,,21.3,1153034,,0.0,E,,0.0,,0.0
